中文片名,英文片名,期待度,海報圖片,上映日
私刑教育2,The Equalizer 2,93%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/July2018/IsLE3N5xixl2rxSfZSIp-1956x2793.jpg,2018-08-30
王牌教師麻辣出擊,Spicy Teacher,48%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/August2018/nk9SnnaAIUOEWI5PTn47-4134x5906.jpg,2018-08-30
生生,Sen Sen,96%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/July2018/u2SsrbkLVXwVvwQRi8ph-1971x2845.jpg,2018-08-31
笑傲曇天,Laughing Under the Clouds,67%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2018/8e1xztaj0V2M5hSRez78-564x800.jpg,2018-08-31
引爆點,High Flash,94%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/July2018/0Kem9zMmoU2UvaXbLAAY-1957x2836.jpg,2018-08-31
粽邪,The Rope Curse,96%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/June2018/Bnw5n5W5VPI9jxJAijyr-2409x3502.jpg,2018-08-31
武士的一分,Love and Honor,67%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/July2018/7r7kaEVn13NNRmxuYpzx-992x1418.jpg,2018-08-31
鬼人魚：死水禁地,The Mermaid: The Lake of the Dead,82%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/July2018/hysWAGODxjdwehZR8QhL-1984x2835.JPG,2018-08-31
遺落殺鎮,What The Waters Left Behind,64%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/July2018/0wI8ykgOnZUYSxAnvmRu-1984x2835.JPG,2018-08-31
hide：來春之約,Hurry Go Round,91%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/August2018/Ma9yGRTspPX8moyYg8TE-2516x3544.jpg,2018-08-31
暗算,Backstabbing for Beginners,63%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/August2018/f6RNxboCWVhBgunRWKXD-560x800.jpg,2018-08-31
